state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean
AL,2014,01073,0.008338862243399248,-0.009548360142995538,9.117118142034577e-5,-0.0030121543978600673,-2,-642.1282228300988,-1.5,0.3999999999999986,0.018789182019923023,-0.01250261465725,-0.003181672201588992,0.0019614307264560985,0.0011126306155951303,0.20000000000000007,4148,3,-25370.29975726502,-1.3000000000000043,0.19999999999999996,-0.04999999999999982,0.10000000000000142,2238,2.0138986145669833,-0.005588844881781019,-0.0020324882445573594,REPUBLICAN,REPUBLICAN,TRUE,0.5008493361925644,-0.01667772448679849
AL,2018,01073,-0.09093561666617594,-0.1752846330210307,0.030724702573317407,-0.05697168150895271,-1.3000000000000007,9824.390749144797,-0.5999999999999943,0.7000000000000028,0.029865831716180014,-0.006416962070531995,0.008922529651116007,-0.0017090709227089995,-5.401927108181501e-4,-0.20000000000000007,4923,24.6,-5307.205656328995,-0.6999999999999957,0.09999999999999987,0.04999999999999982,0.6999999999999993,-1493,-1.3434989417110046,-0.01368392328421597,0.0017959283674896798,REPUBLICAN,REPUBLICAN,TRUE,0.4099137195263885,0.18187123333235186
AL,2014,01097,0.02118466105162342,-0.009548360142995538,9.117118142034577e-5,-0.0030121543978600673,-3.4000000000000004,309.4394787567944,-3.799999999999997,0.7999999999999972,-8.005883203698883e-5,-0.01597587860150007,0.00504091133366702,0.0019666583535414978,-0.004114477765792679,0.40000000000000013,642,1.8999999999999986,-15742.282057450997,3.299999999999997,-0.5,-0.010000000000000231,0.7000000000000028,1846,1.5015521507930316,-0.0031123841279759867,-8.627493644711402e-4,REPUBLICAN,REPUBLICAN,TRUE,0.5827444122367822,-0.04236932210324683
AL,2018,01097,-0.060187090764012185,-0.1752846330210307,0.030724702573317407,-0.05697168150895271,-1.4,-4053.087896146695,-1.5,0.6000000000000014,0.012931542234951993,-0.012051375315834001,0.009948470408229992,-0.0012826709395207976,0.0017418674600540394,-0.7000000000000001,293,25.200000000000003,31950.000295278995,-4.899999999999999,1,-0.06000000000000005,0.29999999999999716,-1366,-1.1111160552460433,-0.004700575745417268,-0.0023312004120378195,REPUBLICAN,REPUBLICAN,TRUE,0.52255732147277,0.12037418152802448
AL,2014,01101,0.007571115878593215,-0.009548360142995538,9.117118142034577e-5,-0.0030121543978600673,0.8999999999999995,-2892.8658206693,1.8999999999999986,0.8000000000000043,-0.01407310910209697,-0.015832419013336985,0.02185911573138799,0.004986548894012902,-8.9712544175583e-4,0.19999999999999996,1035,1.2000000000000028,-6413.724983423497,-1.9000000000000057,-0.8000000000000003,-0.040000000000000036,-0.5,-3655,-4.6602854988109925,-0.023656909156966388,0.00335972304353981,REPUBLICAN,REPUBLICAN,TRUE,0.4164436749042447,-0.015142231757186486
AZ,2014,04005,-0.02803367726914363,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-2.8999999999999995,5360.012938681808,-0.7000000000000028,-0.8000000000000007,0.03908261869269103,0.028281972660423982,0.0030781108242786005,0.0070635937169676,-0.007281553955527986,0.40000000000000013,4847,1.2000000000000028,-1685.0572579525033,0.8999999999999915,-1.2999999999999998,-0.13999999999999968,-0.8000000000000007,3031,0.16279247542245034,-0.01764583008503484,0.003082471660836871,REPUBLICAN,REPUBLICAN,TRUE,0.4181922855497985,0.05606735453828726
AZ,2018,04005,0.007644319423093626,0.31116244897959167,0.09682206965497699,0.08979818789680905,-1.4000000000000004,11346.245902061288,-1.3999999999999986,-0.09999999999999787,0.008284431405786996,-0.005191356245834,-0.0025067723233494,-0.003255925162405599,0.005460477650009954,-1.0000000000000002,3326,23.199999999999996,330350.234617871,-1.999999999999993,-0.7000000000000002,0,2.099999999999998,5172,0.27778379507913975,0.03528089042653815,0.002943790277832349,REPUBLICAN,REPUBLICAN,TRUE,0.4258366049728921,-0.015288638846187252
AZ,2014,04013,0.008202146254318143,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-2.9000000000000004,-1080.3076982977072,-1.6999999999999957,1.1000000000000014,0.01938315786314998,-0.020316914503671013,-3.1058493835370293e-4,0.005822428718080898,6.961911520356016e-4,0.20000000000000007,184310,4.200000000000003,-118543.52981359,-1.3999999999999915,-0.10000000000000009,0.040000000000000036,-0.3000000000000007,259820,28.243138305253012,-0.011125438826157907,0.0010011463150124897,REPUBLICAN,REPUBLICAN,TRUE,0.5749443374967375,-0.016404292508636342
AZ,2018,04013,-0.004695667430855366,0.31116244897959167,0.09682206965497699,0.08979818789680905,-1.4,10116.549297160906,1.6999999999999957,0.8999999999999986,0.029669578236315997,-0.003977899455116951,0.007321421999113002,0.0021660620593451987,0.002059331615809099,-0.20000000000000007,281905,21.5,-793775.4590069889,1,0.20000000000000018,-0.020000000000000018,1.3000000000000007,323633,35.17978438589802,-0.005409188256340958,-0.0030933319984032988,REPUBLICAN,REPUBLICAN,TRUE,0.5702486700658821,0.009391334861710732
AZ,2018,04015,0.05008139079180429,0.31116244897959167,0.09682206965497699,0.08979818789680905,-0.7000000000000002,7632.7254074467055,0.8999999999999986,2.799999999999997,0.013761210910755023,0.00810798581379002,-6.104864445899989e-4,-9.032419214429974e-5,-0.0073335491130254,-1.6,6102,37.7,164504.740404577,-1.6999999999999957,0.6000000000000001,-0.1900000000000004,2,6189,0.464954223466,-0.034926418800399595,-0.002687030098947261,REPUBLICAN,REPUBLICAN,TRUE,0.8067234066778629,-0.10016278158360858
