state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_future,s_d_gas_future,d_percent_pt_future
AL,2014,01073,0.008338862243399248,-0.009548360142995538,9.117118142034577e-5,-0.0030121543978600673,-2,-642.1282228300988,-1.5,0.3999999999999986,0.018789182019923023,-0.01250261465725,-0.003181672201588992,0.0019614307264560985,0.0011126306155951303,0.20000000000000007,4148,3,-25370.29975726502,-1.3000000000000043,0.19999999999999996,-0.04999999999999982,0.10000000000000142,2238,2.0138986145669833,-0.005588844881781019,-0.0020324882445573594,REPUBLICAN,REPUBLICAN,TRUE,0.5008493361925644,-0.01667772448679849,-0.1752846330210307,NA,0.0017959283674896798
AL,2014,01097,0.02118466105162342,-0.009548360142995538,9.117118142034577e-5,-0.0030121543978600673,-3.4000000000000004,309.4394787567944,-3.799999999999997,0.7999999999999972,-8.005883203698883e-5,-0.01597587860150007,0.00504091133366702,0.0019666583535414978,-0.004114477765792679,0.40000000000000013,642,1.8999999999999986,-15742.282057450997,3.299999999999997,-0.5,-0.010000000000000231,0.7000000000000028,1846,1.5015521507930316,-0.0031123841279759867,-8.627493644711402e-4,REPUBLICAN,REPUBLICAN,TRUE,0.5827444122367822,-0.04236932210324683,-0.1752846330210307,NA,-0.0023312004120378195
AZ,2014,04005,-0.02803367726914363,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-2.8999999999999995,5360.012938681808,-0.7000000000000028,-0.8000000000000007,0.03908261869269103,0.028281972660423982,0.0030781108242786005,0.0070635937169676,-0.007281553955527986,0.40000000000000013,4847,1.2000000000000028,-1685.0572579525033,0.8999999999999915,-1.2999999999999998,-0.13999999999999968,-0.8000000000000007,3031,0.16279247542245034,-0.01764583008503484,0.003082471660836871,REPUBLICAN,REPUBLICAN,TRUE,0.4181922855497985,0.05606735453828726,0.31116244897959167,NA,0.002943790277832349
AZ,2014,04013,0.008202146254318143,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-2.9000000000000004,-1080.3076982977072,-1.6999999999999957,1.1000000000000014,0.01938315786314998,-0.020316914503671013,-3.1058493835370293e-4,0.005822428718080898,6.961911520356016e-4,0.20000000000000007,184310,4.200000000000003,-118543.52981359,-1.3999999999999915,-0.10000000000000009,0.040000000000000036,-0.3000000000000007,259820,28.243138305253012,-0.011125438826157907,0.0010011463150124897,REPUBLICAN,REPUBLICAN,TRUE,0.5749443374967375,-0.016404292508636342,0.31116244897959167,NA,-0.0030933319984032988
AZ,2014,04019,-0.010387547633466887,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-1.3999999999999995,-2914.8375734900983,-0.7999999999999972,0.20000000000000284,0.008025095185463016,-0.03472884728620096,-4.4886283255189674e-4,1.7027558650959881e-4,-2.1104131305759583e-4,0.4,18665,3.5,-39884.10642610601,-2,-0.20000000000000018,0.009999999999999787,0.5,22362,2.4340819215119893,-0.00368538287478537,0.009060634476699768,REPUBLICAN,REPUBLICAN,TRUE,0.4742814385115016,0.020775095266933722,0.31116244897959167,NA,-0.007730521554623011
AZ,2014,04021,0.009162046662164025,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-3.9000000000000004,-6000.984272513699,-4.300000000000004,3.1000000000000014,0.006026950177676987,0.056590732203129934,3.0571151959219584e-4,0.0028635471816460013,-0.0012174479856911988,1.9,9766,10.900000000000002,-15756.855569096006,0,-0.2999999999999998,-0.15000000000000036,-0.8999999999999986,18076,3.3688291093906884,0.01300818444548446,-0.0022823978672660596,REPUBLICAN,REPUBLICAN,TRUE,0.6125526362611945,-0.018324093324327995,0.31116244897959167,NA,4.703736184631798e-4
AR,2014,05119,-0.13984933587224924,-0.008190869885632335,6.709034948335866e-5,-0.002553928725039123,-1.5,-4538.1447388990055,-2.299999999999997,0.7000000000000028,0.034207663671303956,-0.017020479051948034,7.517523425220052e-4,-3.276983426442996e-4,-0.00301977269584355,0.4,3492,0.5,-13567.528124853008,-3.1999999999999957,0.5000000000000002,0.1299999999999999,0.7999999999999972,9070,11.937890945744016,-0.011613036318653402,0.0030150346457398208,DEMOCRAT,DEMOCRAT,TRUE,0.5751037211462989,-0.2796986717444986,-0.1780084183909345,NA,-0.003368183539023641
AR,2014,05143,-0.19275682626088952,-0.008190869885632335,6.709034948335866e-5,-0.002553928725039123,-2.5,4639.208953463203,-1.5,0.6000000000000014,0.03540520229718497,0.012866449198364993,-0.008265952244297204,6.261334160113999e-4,9.651856714047499e-4,-1.4,11079,1.8999999999999986,-3096.0908270469954,-3,-0.20000000000000018,0.06000000000000005,1.9000000000000021,16669,17.69531881423299,0.008626053435340397,-0.00910271392633235,DEMOCRAT,DEMOCRAT,TRUE,0.4266088214027477,-0.38551365252177905,-0.1780084183909345,NA,0.0031204083165269295
CA,2014,06001,0.05574818402883008,0.04735164655659663,0.0022421784316208494,0.01299909184895065,-3.5999999999999996,5735.532162488307,0.29999999999999716,0.7000000000000028,0.025093811322867032,-0.014481726959099994,-0.008038489039323998,0.01597445473109299,0.0015358860654017198,0.3,103122,1.6000000000000014,-25342.251138854015,1.7000000000000028,0.20000000000000018,0.040000000000000036,3.700000000000003,96969,131.21350605738007,-0.05090613381852793,0.03197498432685299,DEMOCRAT,REPUBLICAN,FALSE,0.8217055350263827,0.11149636805766017,0.4505417320992202,NA,0.017367704640280535
CA,2014,06007,0.011799262295942692,0.04735164655659663,0.0022421784316208494,0.01299909184895065,-3.2,-3779.569150324096,-2.299999999999997,-0.8000000000000043,0.045754250229502,-0.020724879351147085,0.0018842249577425002,-0.0016142499560383994,0.005802238233567099,0.6000000000000001,3718,0.20000000000000284,-5279.953661330204,-4.400000000000006,-1.2000000000000002,0.040000000000000036,0.5999999999999979,4169,2.5475657746260083,-0.03730461928589113,0.00239459942951341,DEMOCRAT,REPUBLICAN,FALSE,0.4779096310446988,0.023598524591885273,0.4505417320992202,NA,-0.0014890642565732592
CA,2014,06013,0.05572537396006216,0.04735164655659663,0.0022421784316208494,0.01299909184895065,-2.8000000000000007,468.92932917000144,-2.200000000000003,0.29999999999999716,0.010877736342819966,-0.048188651155031015,-0.007856589391991103,0.008686110484643988,8.329549321290002e-4,0,39408,2.3999999999999986,-22276.403912345995,-0.29999999999999716,-0.20000000000000018,0.009999999999999787,3.5,58512,80.95831679020989,-0.0316071528311439,0.020859386142414893,DEMOCRAT,REPUBLICAN,FALSE,0.686455721612356,0.1114507479201241,0.4505417320992202,NA,0.003192192788180198
CA,2014,06017,0.04774197972263533,0.04735164655659663,0.0022421784316208494,0.01299909184895065,-2.7,-871.1026906530024,-3.5,2.3999999999999986,-0.006407892676993987,-0.016754453076491038,4.2960869284680916e-4,0.009210445624439005,-0.002770198090832331,0.3999999999999999,1319,-0.8000000000000007,-6424.994142290001,-4.699999999999989,-0.10000000000000009,0.08000000000000007,-2.8000000000000007,1893,1.1083782303729919,-0.015432282490592364,-0.0019243414687568593,DEMOCRAT,REPUBLICAN,FALSE,0.45496178229762546,0.09548395944527067,0.4505417320992202,NA,-7.613931748123165e-5
CA,2014,06019,0.026189934866805764,0.04735164655659663,0.0022421784316208494,0.01299909184895065,-2.5,-7513.103987717397,-2.299999999999997,1.0999999999999979,-0.003929160128255976,0.013366915430786053,6.408732086235977e-4,0.004885396300390699,-4.6008900827745024e-4,0.29999999999999893,16110,3,-19586.905653096997,-0.8000000000000114,0.3000000000000007,-0.04999999999999982,-0.3000000000000007,32726,5.492023881947006,0.023499214329366414,-0.0014784470245405301,DEMOCRAT,REPUBLICAN,FALSE,0.4762300874992963,0.052379869733611584,0.4505417320992202,NA,-0.00174839643222959
