state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_lag,s_d_gas_lag,d_percent_pt_lag
AL,2018,01073,-0.09093561666617594,-0.1752846330210307,0.030724702573317407,-0.05697168150895271,-1.3000000000000007,9824.390749144797,-0.5999999999999943,0.7000000000000028,0.029865831716180014,-0.006416962070531995,0.008922529651116007,-0.0017090709227089995,-5.401927108181501e-4,-0.20000000000000007,4923,24.6,-5307.205656328995,-0.6999999999999957,0.09999999999999987,0.04999999999999982,0.6999999999999993,-1493,-1.3434989417110046,-0.01368392328421597,0.0017959283674896798,REPUBLICAN,REPUBLICAN,TRUE,0.4099137195263885,0.18187123333235186,-0.009548360142995538,9.117118142034577e-5,-0.0020324882445573594
AL,2018,01097,-0.060187090764012185,-0.1752846330210307,0.030724702573317407,-0.05697168150895271,-1.4,-4053.087896146695,-1.5,0.6000000000000014,0.012931542234951993,-0.012051375315834001,0.009948470408229992,-0.0012826709395207976,0.0017418674600540394,-0.7000000000000001,293,25.200000000000003,31950.000295278995,-4.899999999999999,1,-0.06000000000000005,0.29999999999999716,-1366,-1.1111160552460433,-0.004700575745417268,-0.0023312004120378195,REPUBLICAN,REPUBLICAN,TRUE,0.52255732147277,0.12037418152802448,-0.009548360142995538,9.117118142034577e-5,-8.627493644711402e-4
AZ,2018,04005,0.007644319423093626,0.31116244897959167,0.09682206965497699,0.08979818789680905,-1.4000000000000004,11346.245902061288,-1.3999999999999986,-0.09999999999999787,0.008284431405786996,-0.005191356245834,-0.0025067723233494,-0.003255925162405599,0.005460477650009954,-1.0000000000000002,3326,23.199999999999996,330350.234617871,-1.999999999999993,-0.7000000000000002,0,2.099999999999998,5172,0.27778379507913975,0.03528089042653815,0.002943790277832349,REPUBLICAN,REPUBLICAN,TRUE,0.4258366049728921,-0.015288638846187252,0.02314788409554458,5.358245381007657e-4,0.003082471660836871
AZ,2018,04013,-0.004695667430855366,0.31116244897959167,0.09682206965497699,0.08979818789680905,-1.4,10116.549297160906,1.6999999999999957,0.8999999999999986,0.029669578236315997,-0.003977899455116951,0.007321421999113002,0.0021660620593451987,0.002059331615809099,-0.20000000000000007,281905,21.5,-793775.4590069889,1,0.20000000000000018,-0.020000000000000018,1.3000000000000007,323633,35.17978438589802,-0.005409188256340958,-0.0030933319984032988,REPUBLICAN,REPUBLICAN,TRUE,0.5702486700658821,0.009391334861710732,0.02314788409554458,5.358245381007657e-4,0.0010011463150124897
AZ,2018,04019,0.011757713991604968,0.31116244897959167,0.09682206965497699,0.08979818789680905,-2.2,6034.844645536796,-1.6000000000000014,1,0.00773799383735102,-0.03078280601268002,0.002488969180643494,0.002648317469490801,0.011387352616654599,-0.30000000000000004,23469,22.4,-63032.301894477976,0.30000000000000426,0.7999999999999998,0.009999999999999787,1.1000000000000014,34557,3.7614957947270113,0.007777565297353628,-0.007730521554623011,REPUBLICAN,REPUBLICAN,TRUE,0.4860391525031066,-0.023515427983209825,0.02314788409554458,5.358245381007657e-4,0.009060634476699768
AZ,2018,04021,0.04730552474097083,0.31116244897959167,0.09682206965497699,0.08979818789680905,-0.49999999999999956,7711.908431797405,-0.10000000000000142,1.3999999999999986,0.025799947928210998,-0.005871926069062949,-0.001453733793409899,-0.003676094127544601,-0.0021175076754496036,-0.19999999999999973,20253,45.39999999999999,132521.818220363,3.1999999999999886,0.3999999999999999,0,1.1000000000000014,45220,8.42766388175761,-0.008746427058641704,4.703736184631798e-4,REPUBLICAN,REPUBLICAN,TRUE,0.6598581610021653,-0.0946110494819416,0.02314788409554458,5.358245381007657e-4,-0.0022823978672660596
AR,2018,05119,0.049472911053337454,-0.1780084183909345,0.03168699701804199,-0.05717825874936633,-1.3999999999999995,2534.880677112,0.6999999999999957,1.2999999999999972,4.757186859919993e-4,-0.03743768201493203,0.012890510813822975,0.002881336434298099,0.0037410490115909302,-0.5,7119,17.1,88265.73204137498,1.8999999999999986,-0.5000000000000002,-0.08999999999999986,1.2000000000000028,-22,-0.028956295568036694,-0.010084577679694062,-0.003368183539023641,REPUBLICAN,DEMOCRAT,FALSE,0.4743691899070385,-0.0989458221066748,-0.008190869885632335,6.709034948335866e-5,0.0030150346457398208
AR,2018,05143,-0.011564817261378035,-0.1780084183909345,0.03168699701804199,-0.05717825874936633,-1.5999999999999996,3216.753811745395,-1.8999999999999915,0.6000000000000014,0.04655543309461002,-0.03657204412744597,0.006191715657351399,0.0017437563530526001,0.0038082863472705,0.8,7678,7.900000000000006,153406.5968673201,5.299999999999997,2.2,-0.06999999999999984,-1.6000000000000014,16169,17.16453355974099,-0.03504305283200482,0.0031204083165269295,REPUBLICAN,DEMOCRAT,FALSE,0.5618263613358743,0.023129634522756126,-0.008190869885632335,6.709034948335866e-5,-0.00910271392633235
CA,2018,06001,-0.01618514703192042,0.4505417320992202,0.20298785236296552,0.11589985975955752,-1.7000000000000002,25317.275478389987,1.6000000000000085,0.5,0.05509117005505898,-0.056524964344708994,-0.011543493172937,0.027520501183049995,-3.1384562814030983e-4,-0.09999999999999998,80137,5.399999999999999,666401.532693408,-0.6000000000000085,-0.5000000000000002,0.040000000000000036,3.6999999999999957,55832,75.54901535744011,-0.024998181645384587,0.017367704640280535,DEMOCRAT,DEMOCRAT,TRUE,0.8055203879944622,-0.03237029406384084,0.04735164655659663,0.0022421784316208494,0.03197498432685299
CA,2018,06007,-0.010177511936432904,0.4505417320992202,0.20298785236296552,0.11589985975955752,-1.0999999999999996,8403.777667237599,2.1999999999999957,1.1000000000000014,-0.008948334609721997,-0.013114907035484014,0.0014675561340670995,0.0019984785800312987,-0.010337004863240698,-0.3999999999999999,9626,17.9,276143.8468230279,1.3000000000000043,-0.10000000000000009,-0.029999999999999805,1.6000000000000014,7015,4.286681196691006,0.027269505262710547,-0.0014890642565732592,DEMOCRAT,DEMOCRAT,TRUE,0.4677321191082659,-0.020355023872865807,0.04735164655659663,0.0022421784316208494,0.00239459942951341
