year,county_fips,state,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct,partisan_lean,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price
2008,10001,DE,0.5437728800896526,0.4456779977586851,REPUBLICAN,0.4456779977586851,0.09809488233096753,0.9377114507695804,0.01008277503643973,"Kent County, Delaware",0.71456423125181,0.221625969179294,0.0205771643663739,0.00582311874658173,67,71189,9.1,3.6,81859.1058987459,26.3,61836.5722248026,71.3,2.2,2.66,0.192604511188582,35.8,155415,25.9,265.062248900236,3.1756680658701972
2016,10001,DE,0.4470763291241052,0.4958712029813131,DEMOCRAT,0.4470763291241052,-0.04879487385720788,0.9158557231290144,0.01407358585662776,"Kent County, Delaware",0.663307155073301,0.25158585344369,0.0178748133869482,0.00549686261275432,62.3,0.9,77379,4.9,70945.9583333333,67,260772.916666667,67.2,2.5,2.63,0.226103271904799,37.5,174827,27,298.169660512059,3.141284870513403
2024,10001,DE,0.5017188368636616,0.4817054492234034,DEMOCRAT,0.5017188368636616,0.020013387640258173,0.846447426308843,0.02131544214694237,"Kent County, Delaware",0.560942446416524,0.253687269707821,0.0308215268047122,0.00508588925216669,63.7,1.2,89196,3.5,81117,76.8,339800,46.7,2.5,26455,0.312602392507187,39,192690,27.3,328.63523302504,3.186
2008,10003,DE,0.6971768642484703,0.2909635476586966,REPUBLICAN,0.2909635476586966,0.40621331658977367,0.8706631121174684,0.0574069895084701,"New Castle County, Delaware",0.705496742132879,0.226039902499995,0.0381031679949249,0.00231666355134893,68.2,266732,4.1,4.4,92448.1003251277,27.7,207602.136553646,66.7,2.6,2.6,0.325069796298211,37.8,529641,25.2,1242.45562078247,3.1756680658701972
2012,10003,DE,0.662992238464835,0.3223259209878895,DEMOCRAT,0.662992238464835,0.34066631747694553,0.878557064914392,0.03746140625420542,"New Castle County, Delaware",0.662933364586614,0.238772625055853,0.0460851603073565,0.00172320336363437,66.1,0.5,263777,5.5,85141.012630662,31.8,189550.629355401,65.9,2.7,2.61,0.343510649749247,37,546076,25.6,1281.00958115857,3.538719143576826
2016,10003,DE,0.6209016315346182,0.3259448685358873,DEMOCRAT,0.6209016315346182,0.2949567629987309,0.8907126376409237,0.03666172691290401,"New Castle County, Delaware",0.649216229463165,0.248643146069836,0.0538486535592393,0.00336991707167313,63.9,0.6,270496,3.6,88156.9708333333,66.9,331535.416666667,65.3,1.9,2.65,0.35463252930025,38.5,556987,25.9,1306.60509449375,3.141284870513403
2024,10003,DE,0.6549070916253801,0.3293309219801607,DEMOCRAT,0.6549070916253801,0.3255761696452194,0.7866883505948814,0.03100915860652229,"New Castle County, Delaware",0.515143013094868,0.265986842217132,0.0689533798225791,0.0044873854985521,66,0.5,299969,3.3,89846,68.5,372200,45,1.1,76715,0.387193233464424,39.4,588093,26.2,1379.57494490197,3.186
2008,10005,DE,0.4524418996295049,0.538217132592343,REPUBLICAN,0.538217132592343,-0.08577523296283818,0.9156643025415384,0.00162040210901566,"Sussex County, Delaware",0.799139526473654,0.135612329553915,0.0101097662149801,0.00276542789678572,59.4,83056,4.9,4.6,69277.6451463075,23.4,83397.2782164422,67.1,1.8,2.48,0.206141142496165,41.7,188036,23.4,200.874185631642,3.1756680658701972
2016,10005,DE,0.3710380348652932,0.590625235831258,DEMOCRAT,0.3710380348652932,-0.21958720096596485,0.9125030158713509,0.00940951861448247,"Sussex County, Delaware",0.824159708695988,0.124566971319086,0.0114778139486313,0.00552551407258083,54.6,1.7,96446,1.9,75655.5958333333,79.1,332845.833333333,67.7,0.7,2.62,0.263796532412548,48.7,220251,26.2,235.288669507727,3.141284870513403
2024,10005,DE,0.4391522565175868,0.5488048550857159,DEMOCRAT,0.4391522565175868,-0.10965259856812903,0.8229835101623418,0.00634880054540031,"Sussex County, Delaware",0.740652223623743,0.0978372317746944,0.015966274978424,0.00215022830039759,54.8,1.6,119184,2.7,85258,82.2,397800,53.3,0.7,58566,0.335080774580079,52.5,271134,27.6,289.645713836977,3.186
2008,11001,DC,0.9245710975614344,0.06532557465968035,REPUBLICAN,0.06532557465968035,0.859245522901754,0.43815632083638983,0.3574086189919176,"District of Columbia, District of Columbia",0.374955435063607,0.534404130895033,0.0339470762867228,0.00373754082655073,68,306366,16.1,5.2,84630.1532745007,56.6,158595.35299582,42.9,1.7,2.23,0.482353727883339,34.9,591833,29.5,9680.20811586256,3.2597513722957703
2012,11001,DC,0.9091311392818724,0.07278291417600523,DEMOCRAT,0.9091311392818724,0.8363482251058671,0.3970160328444885,0.3859963267646401,"District of Columbia, District of Columbia",0.396406583344272,0.49535443120051,0.0345677762788954,0.00357095977846765,69,0.1,326957,7.1,91203.6302264808,58.5,151607.902874564,42.2,1.2,2.22,0.529634997303944,33.7,632323,29.9,10342.4753882372,3.7217153652392945
2016,11001,DC,0.9086382152999988,0.04087474459308377,DEMOCRAT,0.9086382152999988,0.8677634707069151,0.381000762001524,0.3601589159700059,"District of Columbia, District of Columbia",0.407046699061908,0.470593243977274,0.0388096950834593,0.00294199685834667,69.3,0.1,364797,4.8,98944.3208333333,39.2,754931.041666667,43.6,1.2,2.28,0.568302517088125,33.9,681170,30.8,11141.4324011708,3.304179009541117
2024,11001,DC,0.9027430426630744,0.06467431163100415,DEMOCRAT,0.9027430426630744,0.8380687310320702,0.33395768493517736,0.2661876249562009,"District of Columbia, District of Columbia",0.375645425418298,0.413152011391954,0.0495493058027768,0.00633962264150943,71.3,0.3,389016,4,109707,40.9,733400,25,0.8,69700,0.654649641384042,34.9,702250,31,11486.2235619921,3.312
2008,12001,FL,0.6020204112524797,0.3864992550928545,REPUBLICAN,0.3864992550928545,0.21552115615962525,0.8345110052381718,0.03570249892105508,"Alachua County, Florida",0.73263204123233,0.187824199134917,0.0457856184020815,0.00171525165310485,62.6,120900,4.8,2.5,62955.5085926614,44,80824.8931723177,53,1.6,2.29,0.453845935028731,30.5,241364,20.6,275.827636264226,3.114738133677753
2012,12001,FL,0.5788088159577471,0.4052301150990716,DEMOCRAT,0.5788088159577471,0.17357870085867555,0.83182026346273,0.04225820065910581,"Alachua County, Florida",0.695939415393549,0.197428972583397,0.0519933019644654,0.0030825282299924,58.6,0.7,113902,4.7,57077.0927700348,44.8,70448.8218641115,54.1,1.4,2.53,0.40494717786604,30.5,251417,20.3,287.316073758485,3.330768891687657
2016,12001,FL,0.5897130768213672,0.3642656586633067,DEMOCRAT,0.5897130768213672,0.22544741815806052,0.8315829528158295,0.04298156604092677,"Alachua County, Florida",0.691164192245803,0.200507787594499,0.0637504933661232,0.00442511461274554,57.5,0.9,119879,3.1,59367.1166666667,52.6,232074.791666667,48.3,1.5,2.61,0.39709338397037,31.3,263496,22.6,301.119797671063,2.938953203089505
2024,12001,FL,0.5974309400357384,0.3876951694642177,DEMOCRAT,0.5974309400357384,0.20973577057152065,0.7333990864513602,0.02537790555334047,"Alachua County, Florida",0.612107669424433,0.161459582839243,0.0645995983302603,0.00186783283410217,61.7,0.4,145333,2.6,65033,53.7,329000,34.7,0.5,33378,0.54488556696368,32.9,291782,22.9,333.444670143221,3.1
2016,12005,FL,0.24924245023040947,0.711170571621328,DEMOCRAT,0.24924245023040947,-0.46192812139091854,0.9206113985922058,0.01259605387382434,"Bay County, Florida",0.82135519149445,0.111368997793166,0.0275962907802189,0.00172306956417755,60.8,0.9,82277,3.4,64416.1520833333,64.1,232861.041666667,62.2,1,2.58,0.232644878549117,40.1,183974,22.5,242.562576526149,2.938953203089505
2008,12009,FL,0.44334205288005585,0.5474520511778336,REPUBLICAN,0.5474520511778336,-0.10410999829777773,0.9140712426600948,0.00340747632998453,"Brevard County, Florida",0.844434793791855,0.0970903282443744,0.0209274194299944,0.00115000158428095,59.2,240427,6.4,4.4,72177.2387366465,24.7,239047.754296331,64.3,2.6,2.42,0.256724172798407,44.1,536521,24.5,528.375986392347,3.114738133677753
2012,12009,FL,0.43070959066252507,0.5578531932105099,DEMOCRAT,0.43070959066252507,-0.1271436025479848,0.9086910658594752,0.00675564116675839,"Brevard County, Florida",0.834825792471136,0.100899495164505,0.0224353059617363,0.00209388880463798,57.1,0.6,223938,7.6,63231.4851916376,27.1,217713.172909408,63,2,2.48,0.268272437746069,46.3,547307,23.7,538.998242351066,3.330768891687657
2016,12009,FL,0.3802326911346075,0.5777501016673444,DEMOCRAT,0.3802326911346075,-0.19751741053273691,0.9037319405248304,0.00405627395644665,"Brevard County, Florida",0.826387857648542,0.0988344585844284,0.0244573757187505,0.00216531694092863,53.1,0.8,241915,3.2,67072.3666666667,72.3,230109.166666667,64,1.9,2.54,0.29309019772235,47.3,579130,24.9,570.33813215028,2.938953203089505
2024,12009,FL,0.39074115573704726,0.5990693016165489,DEMOCRAT,0.39074115573704726,-0.20832814587950166,0.8307183329415092,0.0026235183084099,"Brevard County, Florida",0.7199349378158,0.101830519388804,0.0267568991885452,0.00171312193692127,56.5,0.2,296392,2.8,78196,76.7,372900,47.8,1.2,114705,0.357496829538203,46.3,658447,26.5,648.451007718397,3.1
2008,12011,FL,0.6712640295190483,0.32392604431944994,REPUBLICAN,0.32392604431944994,0.34733798519959835,0.8970719362353804,0.02921796099856908,"Broward County, Florida",0.661957225590641,0.247264500346613,0.0299851419056505,0.00188381449880484,67.1,862543,4.1,5.1,75408.4231305156,29.6,686170.928936368,61.8,1.8,2.58,0.296515819514999,40.1,1751234,26.9,1450.70247532515,3.114738133677753
2012,12011,FL,0.6719952619040694,0.32270478648162004,DEMOCRAT,0.6719952619040694,0.3492904754224494,0.886365610991483,0.03206123182194962,"Broward County, Florida",0.628642906843946,0.272303963833033,0.0331214668644846,0.00200039996980944,67.2,0.3,870103,7.9,68205.1328397212,34.4,596615.81445993,61.9,2.1,2.71,0.298205992672197,40,1815137,27.6,1503.6389991025,3.330768891687657
2016,12011,FL,0.6650872467248672,0.31366150169901835,DEMOCRAT,0.6650872467248672,0.35142574502584883,0.8902571822054255,0.02942702494955641,"Broward County, Florida",0.609337296400563,0.285564967491119,0.036342604229506,0.00313830099202359,65.4,0.3,955664,3.7,71040.3083333333,61,322493.541666667,64.2,2.2,2.78,0.308094289119579,40.3,1909632,28.7,1581.91759031638,2.938953203089505
2024,12011,FL,0.5801090631749984,0.4104471041314338,DEMOCRAT,0.5801090631749984,0.16966195904356463,0.7941539052373866,0.01702174643560079,"Broward County, Florida",0.35651532879961,0.276647728165099,0.038934522781172,0.00358876097438394,66.4,0.2,1059940,2.9,81488,64.2,471900,43.7,1.2,267292,0.382327967475021,41.6,2037472,29.8,1687.81880308724,3.1
2024,12015,FL,0.3270642646916136,0.6669038455318737,DEMOCRAT,0.3270642646916136,-0.33983958084026006,0.8037274915372041,2.4455227626684516e-4,"Charlotte County, Florida",0.80310387418561,0.0451768322003375,0.0153119431270684,0.00112671010079105,43.3,0.4,79953,1.4,72868,84.2,355300,53.2,0.4,53285,0.301699716713881,59.6,212122,25.6,311.808144947884,3.1
2024,12017,FL,0.26747559473518123,0.7263658295754145,DEMOCRAT,0.26747559473518123,-0.4588902348402333,0.8055417229849897,0.00218752223091698,"Citrus County, Florida",0.852515660441666,0.014156099051559,0.0176760257148566,0.0026737339429055,41.6,1,58011,2.7,59481,86.3,280900,49.5,0.9,42289,0.23123764795111,57,170174,29.5,292.503551341657,3.1
2008,12019,FL,0.2822779322668302,0.7105638791672394,REPUBLICAN,0.7105638791672394,-0.4282859469004092,0.9227453291426576,0.00284834992142482,"Clay County, Florida",0.833619340973436,0.102323969966491,0.0281388210710941,0.00226821201015553,68.9,91029,6.5,4.6,89295.7965629354,22.8,74676.5861588481,75.8,2.1,2.75,0.206613048817182,37.1,184727,31,305.439973017729,3.114738133677753
2008,12021,FL,0.38348311124883794,0.6083542271177846,REPUBLICAN,0.6083542271177846,-0.2248711158689467,0.8717858003131398,0.01050072263037456,"Collier County, Florida",0.895209637820452,0.0532516224806349,0.00860247797042422,0.00113874984932976,56.7,135515,3.1,4,89346.9228982815,22.9,132211.242452392,67.2,1.5,2.67,0.308746093952316,45,315258,22.3,157.75024508049,3.114738133677753
2012,12021,FL,0.3467058318579323,0.6472986748216106,DEMOCRAT,0.3467058318579323,-0.30059284296367833,0.8437977178189149,0.02633459452547332,"Collier County, Florida",0.883950461304286,0.0650368351547859,0.0138737226518905,0.00262614047595412,53.5,3.1,135719,4.6,74140.3614982578,25.8,125741.099738676,65.6,1.6,2.65,0.310041553219459,48,332427,24.4,166.341348106542,3.330768891687657
2016,12021,FL,0.35766354976023046,0.6172704331075186,DEMOCRAT,0.35766354976023046,-0.25960688334728815,0.8675375355512931,0.01842053045836365,"Collier County, Florida",0.880282963060339,0.0715952412251873,0.0131293545418693,0.00270310240567898,52.3,3.1,155130,2,80234.1916666667,72.5,468211.875,65.5,1.6,2.59,0.339150744947846,50.3,365136,24.5,182.708427661502,2.938953203089505
2024,12021,FL,0.33146924250127097,0.6621389286869714,DEMOCRAT,0.33146924250127097,-0.3306696861857005,0.7492108072977114,0.00587832505454714,"Collier County, Florida",0.622692097935531,0.0633515362789591,0.0178169438751853,0.0255433855556864,50.1,1.5,174230,1.5,95862,78.3,636600,56.9,0.9,91208,0.424709536408605,53.6,416233,28.1,208.276579057749,3.1
2008,12031,FL,0.487342487631115,0.5063894881915331,REPUBLICAN,0.5063894881915331,-0.01904700056041808,0.9170132609646032,0.01660547017776047,"Duval County, Florida",0.631733261884785,0.291083503141151,0.036234285432252,0.00372167029785114,69.7,418062,4.9,4.8,74054.305620065,36.4,312471.014862982,62.1,1.8,2.49,0.235668869912667,36.6,850962,23.6,1116.04107829013,3.114738133677753
2012,12031,FL,0.4776932266272994,0.5138182047745771,DEMOCRAT,0.4776932266272994,-0.036124978147277664,0.9037282324785282,0.01802695395852885,"Duval County, Florida",0.619226650234993,0.28684336779589,0.0429785289255823,0.00280467757008283,65.3,0.4,391869,7.8,59515.2896341463,40.5,267327.739547038,61.1,1.9,2.62,0.264291875549786,35.8,879602,23.5,1153.60258689126,3.330768891687657
2016,12031,FL,0.47540184194409457,0.4891944672344261,DEMOCRAT,0.47540184194409457,-0.01379262529033154,0.8811608572443039,0.02473163662024041,"Duval County, Florida",0.604671499748989,0.292876151815645,0.0431155567311378,0.00217326762068761,65.3,0.2,439862,3.7,68115.4583333333,57.2,215301.458333333,61.4,2.4,2.56,0.294181619585091,36.1,926255,24.7,1214.78823845439,2.938953203089505
2024,12031,FL,0.486683132392071,0.5013664854588123,DEMOCRAT,0.486683132392071,-0.014683353066741345,0.7915765407331862,0.00780406528666584,"Duval County, Florida",0.503535486121049,0.285149441932448,0.0502085467687808,0.00548258603679635,67.1,0.3,529462,3.3,73708,58.8,333700,41.2,1.2,124364,0.355950627289703,37.4,1055159,25.7,1383.84650328398,3.1
2008,12033,FL,0.3986610293498741,0.5918599908059076,REPUBLICAN,0.5918599908059076,-0.1931989614560335,0.8669718683651805,0.00807973578674215,"Escambia County, Florida",0.707294207744793,0.225104724053357,0.0258566906208841,0.00408993229660097,61.9,129615,6.2,5,60583.2466326057,30.9,116503.771481654,63,1.7,2.47,0.234713804373122,38,302939,21,461.357102652424,3.114738133677753
2012,12033,FL,0.391812904876702,0.5973724259605931,DEMOCRAT,0.391812904876702,-0.20555952108389114,0.8688271022748708,0.00858641113668087,"Escambia County, Florida",0.69460383529062,0.212262358984523,0.0298928034620022,0.00406983466296682,61.1,1.1,124251,6,61652.1363240418,40.6,92745.9952090592,61.2,2.1,2.49,0.223715710723192,37.5,302715,22.8,461.015964697278,3.330768891687657
2016,12033,FL,0.37687005227292103,0.5824659438967922,DEMOCRAT,0.37687005227292103,-0.20559589162387115,0.8483930508785031,0.00855254815211418,"Escambia County, Florida",0.687737755681548,0.223092957514111,0.0307341356083849,0.00510173325676503,59.5,0.6,133788,3.4,58690.9416666667,61.2,171664.583333333,58.1,1.9,2.5,0.268456758451628,37.3,315187,22.4,480.010038699902,2.938953203089505
2024,12033,FL,0.3969217535559583,0.5923443212190102,DEMOCRAT,0.3969217535559583,-0.19542256766305183,0.7972981519663028,0.00819029307967668,"Escambia County, Florida",0.639640781827787,0.202469247603954,0.0264734737000981,0.00666515734661535,62.5,0.7,149597,3.4,67019,66.6,284400,39.7,1.4,46148,0.292814737555506,38.1,331275,22.6,504.511053978464,3.1
2008,12057,FL,0.5317682033539056,0.4604509538058725,REPUBLICAN,0.4604509538058725,0.07131724954803315,0.892913221532999,0.01663389516419937,"Hillsborough County, Florida",0.768528367593057,0.159253512920229,0.029582887301996,0.00205626092494478,67.1,572821,3.4,4.4,72695.8058522991,36.7,421045.822108686,63.9,2.8,2.55,0.292561049073313,37.1,1180784,25.6,1157.3722730425,3.114738133677753
