STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price
01003,AL,2012,0.627061963081,0.677750349045,0.2109385430813,0.9197259941804072,0.00374636275460717,"Baldwin County, Alabama",0.86294355050055,0.0880916190576026,0.00783059908800252,0.00518370983804183,60.4,1.6,84236,5.3,66266.9033101045,32.7,71909.0004355401,72.8,1.2,2.41,0.291449641393059,41.5,190790,26.9,120.006883530901,3.3260157430730475
01069,AL,2012,0.557504177094,0.640045106411,0.278335660696,0.9585719174175888,0.00289722824227215,"Houston County, Alabama",0.702075395060057,0.264530666718245,0.00840409276416317,0.00221465735672424,59,0.9,44081,4.4,55351.1781358885,35.1,34312.8266550523,66.4,1.1,2.65,0.219208619728776,38.8,103402,22.1,178.332914316644,3.3260157430730475
01069,AL,2014,0.771383047104,0.980000019073,0.2087517380714,0.9605769001170036,0.00358174741517228,"Houston County, Alabama",0.696313571929016,0.275258414672771,0.0054994097492154,0.00212106379507261,56.3,1.8,42390,4.8,52540.2344740178,34.6,33737.9974651458,64.3,2.1,2.66,0.193794384045132,39.1,104193,21.8,179.697117477361,3.165172011661807
01069,AL,2022,0.336429685354,0.35133048892,0.2577725052834,0.935874686410084,0.00256990760570274,"Houston County, Alabama",0.653762525560007,0.266351465131987,0.0105108300409885,0.00416362105496905,59.6,1,49279,2.3,60928.3310556884,65.8,195340.280150325,43.1,1,14084,0.243130234981364,40.3,108079,23.3,186.399131993855,3.147713546160483
01073,AL,2010,0.439539283514,0.515916585922,0.4704286754131,0.9468753614248816,0.00901766031493469,"Jefferson County, Alabama",0.53647910956564,0.422889508089681,0.0142539347510838,0.00213649581280227,62.8,0.6,289454,7.4,59962.6478679505,35.4,239717.927556167,64.2,1.6,2.51,0.286348958179467,37.1,658555,23.4,592.610814171848,3.1747203718048027
01073,AL,2012,0.627342641354,0.700048685074,0.5018028020859,0.95147707715081,0.00787939741201634,"Jefferson County, Alabama",0.532476072295984,0.426041160044787,0.0156740286874876,0.00181361163256865,60.6,0.7,287272,5.6,60213.8741289199,35.9,226676.970818815,63.5,1,2.5,0.306542596571129,37.1,660009,23.2,593.919218365584,3.3260157430730475
01073,AL,2014,0.837212324142,0.980000019073,0.3763521015644,0.9412865165431006,0.00698517207037733,"Jefferson County, Alabama",0.52397649490839,0.419707835888092,0.0162153654775399,0.0032491264283974,61.3,0.8,293602,5.4,59320.5196451204,38.4,214347.627798902,62.9,1.8,2.46,0.30513814019939,37.5,660793,23.5,594.624712786415,3.165172011661807
01073,AL,2016,0.622828006744,0.66934633255,0.3813635706902,0.9427069313313992,0.00838127141428139,"Jefferson County, Alabama",0.516292885290991,0.424518703725886,0.0126849637843223,0.0027277372517327,62.6,0.5,305986,4.3,65756.7083333333,62.8,199183.333333333,62.8,1.9,2.46,0.329162881419334,38,659521,23.4,593.480084083229,2.796635165833712
01073,AL,2018,0.49796757102,0.53792655468,NA,0.9276025932588846,0.00878110043786701,"Jefferson County, Alabama",0.517559532837858,0.428630365539208,0.0145062945548309,0.00270893371757925,60.7,0.6,298525,4.1,69144.9103942652,63,209040.422142573,62.2,1.9,2.51,0.33500397191557,38.2,659300,24.2,593.281213844704,2.9898873786407765
01073,AL,2022,0.382741361856,0.408703327179,0.5500463843346,0.861384641128617,0.00725015446400988,"Jefferson County, Alabama",0.489450849026689,0.428413201504639,0.0192107410630154,0.00279377044795006,61.6,0.7,314455,2.3,66583.3139733516,62.9,254866.416125726,39.9,0.7,81514,0.37597925094495,38.1,665409,23.2,598.778491162128,3.147713546160483
01081,AL,2010,0.325076252222,0.39187681675,0.3650458753109,0.9097893909500666,0.00766726015751568,"Lee County, Alabama",0.726118766870294,0.232192072737605,0.025976701235971,0.00155561869583748,64.7,1.2,63718,7.3,56787.3658872077,36.4,50542.0678587804,60.2,1.2,2.47,0.3124006760336,29.2,140780,21.8,231.716828017388,3.1747203718048027
01081,AL,2012,0.521063685417,0.561287879944,0.3826776444912,0.90749773896541,0.00914792355479117,"Lee County, Alabama",0.702228077442838,0.228070651989379,0.0272177213986432,0.00325281650447856,63,0.4,68181,4.2,61698.7086236934,37.8,47301.0191637631,61.3,1.1,2.56,0.328646372363584,29.8,147257,23.3,242.377645570084,3.3260157430730475
01081,AL,2016,0.506974935532,0.57558208704,0.2839312553406,0.903494623655914,0.0036021505376344,"Lee County, Alabama",0.699316313502022,0.238805970149254,0.0418136875672208,0,62.5,0.5,75028,3.6,62973.3833333333,58.5,214122.083333333,60.5,0.6,2.58,0.356909764621668,31,158991,23.8,261.691221787985,2.796635165833712
01089,AL,2012,0.631099581718,0.665529131889,0.3721177279949,0.9463099850409028,0.002459801338182,"Madison County, Alabama",0.69227876880028,0.245132330651743,0.0221551824647313,0.00752885624344176,65.7,0.8,162239,5.8,77856.5570557491,31.1,127790.280923345,64.5,1.6,2.48,0.409596188747731,37.9,343080,20.8,427.997948225204,3.3260157430730475
01089,AL,2014,0.873311460018,0.980000019073,0.2790882885456,0.9375079231888344,0.0026621914483891,"Madison County, Alabama",0.68557717835335,0.234936440012675,0.0248616182175798,0.00435627849351554,64.6,0.6,166652,4.8,77514.2184199409,31.7,127763.798056612,65.8,1.7,2.43,0.384274658739716,37.9,350299,20.9,437.003769573688,3.165172011661807
01089,AL,2022,0.3956810534,0.390904068947,0.4339934289455,0.8236589547532713,0.00273431341636449,"Madison County, Alabama",0.632170777941595,0.238913186227745,0.0241844560355829,0.0059222182300249,65.4,0.6,204714,2.7,86090.4800136659,68.3,317401.093269559,47.7,1.4,46608,0.466968384488437,38.8,403565,22.1,503.453981507242,3.147713546160483
