year,county_fips,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
2000,1001,0.2871920037192004,0.6969432821943282,DEMOCRAT,0.2871920037192004
2004,1001,0.2369403914147702,0.7567352223494845,REPUBLICAN,0.7567352223494845
2008,1001,0.25773021445793326,0.7361363732498625,REPUBLICAN,0.7361363732498625
2012,1001,0.2658783219120842,0.7261825171318737,DEMOCRAT,0.2658783219120842
2016,1001,0.2376967124494454,0.7276658791494814,DEMOCRAT,0.2376967124494454
2020,1001,0.27018365142239825,0.714368023046453,REPUBLICAN,0.714368023046453
2024,1001,0.26303878929316504,0.7243025352710301,DEMOCRAT,0.26303878929316504
2000,1003,0.24782223796033995,0.7236543909348442,DEMOCRAT,0.24782223796033995
2004,1003,0.22502885170225043,0.7641517599538373,REPUBLICAN,0.7641517599538373
2008,1003,0.23811921928930269,0.7525947944431479,REPUBLICAN,0.7525947944431479
2012,1003,0.21589444327263352,0.7735826946963837,DEMOCRAT,0.21589444327263352
2016,1003,0.193856010082445,0.765457123352413,DEMOCRAT,0.193856010082445
2020,1003,0.22409029987509005,0.7617137282433283,REPUBLICAN,0.7617137282433283
2024,1003,0.20396076859524415,0.7836301319438196,DEMOCRAT,0.20396076859524415
2000,1005,0.4990860990860991,0.49023569023569025,DEMOCRAT,0.4990860990860991
2004,1005,0.4483622529460889,0.5473693977915932,REPUBLICAN,0.5473693977915932
2008,1005,0.48985382631126395,0.5043852106620809,REPUBLICAN,0.5043852106620809
2012,1005,0.5136849422191329,0.48223129724563385,DEMOCRAT,0.5136849422191329
2016,1005,0.46527844111185407,0.5209666634826631,DEMOCRAT,0.46527844111185407
2020,1005,0.45788172656398557,0.5345122646891044,REPUBLICAN,0.5345122646891044
2024,1005,0.42191780821917807,0.5688483003551497,DEMOCRAT,0.42191780821917807
2000,1007,0.381636389240952,0.6017462329249401,DEMOCRAT,0.381636389240952
2004,1007,0.2748684210526316,0.72,REPUBLICAN,0.72
2008,1007,0.2659648310967145,0.7244331328088848,REPUBLICAN,0.7244331328088848
2012,1007,0.261520190023753,0.7282660332541567,DEMOCRAT,0.261520190023753
2016,1007,0.21249574781721284,0.7640322031976414,DEMOCRAT,0.21249574781721284
2020,1007,0.20698280354351226,0.7842626367899947,REPUBLICAN,0.7842626367899947
2024,1007,0.17489467430052932,0.8179755860429945,DEMOCRAT,0.17489467430052932
2000,1009,0.2769153730595894,0.704779391309186,DEMOCRAT,0.2769153730595894
2004,1009,0.18312872023809523,0.8085007440476191,REPUBLICAN,0.8085007440476191
2008,1009,0.14513536901965632,0.8401945028227634,REPUBLICAN,0.8401945028227634
2012,1009,0.12371907023244189,0.8646588352911772,DEMOCRAT,0.12371907023244189
2016,1009,0.08425824605283727,0.8933484445833985,DEMOCRAT,0.08425824605283727
2020,1009,0.09569377990430622,0.8957155284906481,REPUBLICAN,0.8957155284906481
2024,1009,0.09146752831729574,0.9002592053403402,DEMOCRAT,0.09146752831729574
2000,1011,0.6922920065252854,0.29221044045676997,DEMOCRAT,0.6922920065252854
2004,1011,0.6805172779308882,0.31672673309306765,REPUBLICAN,0.31672673309306765
2008,1011,0.7407202216066482,0.25687903970452447,REPUBLICAN,0.25687903970452447
2012,1011,0.7630590003757985,0.2350620067643743,DEMOCRAT,0.7630590003757985
2016,1011,0.7494692144373672,0.24203821656050956,DEMOCRAT,0.7494692144373672
2020,1011,0.7470192933015392,0.24842835464990246,REPUBLICAN,0.24842835464990246
2024,1011,0.7256142057893457,0.2678180491364631,DEMOCRAT,0.7256142057893457
2000,1013,0.46212995001922336,0.5288991413558888,DEMOCRAT,0.46212995001922336
2004,1013,0.405537072243346,0.591611216730038,REPUBLICAN,0.591611216730038
2008,1013,0.43135235348645584,0.5649397466268411,REPUBLICAN,0.5649397466268411
2012,1013,0.4606149957877001,0.5356992417860151,DEMOCRAT,0.4606149957877001
2016,1013,0.4267063673843335,0.5612688960146587,DEMOCRAT,0.4267063673843335
2020,1013,0.4178962900505902,0.5752529510961214,REPUBLICAN,0.5752529510961214
2024,1013,0.38337264150943395,0.6099056603773585,DEMOCRAT,0.38337264150943395
2000,1015,0.40558739623223417,0.5732863861831453,DEMOCRAT,0.40558739623223417
2004,1015,0.3333333333333333,0.6588874892262813,REPUBLICAN,0.6588874892262813
2008,1015,0.331708703951911,0.6569188903781324,REPUBLICAN,0.6569188903781324
2012,1015,0.33532222150161056,0.6545603908597618,DEMOCRAT,0.33532222150161056
2016,1015,0.2766588667892362,0.6866329600534848,DEMOCRAT,0.2766588667892362
2020,1015,0.29845242531824334,0.6884843967597042,REPUBLICAN,0.6884843967597042
2024,1015,0.27118574394179185,0.7175713727827677,DEMOCRAT,0.27118574394179185
2000,1017,0.47456481324995775,0.5101402737873922,DEMOCRAT,0.47456481324995775
2004,1017,0.41029772866789443,0.5848680171884592,REPUBLICAN,0.5848680171884592
2008,1017,0.4546001604707141,0.5393821877507355,REPUBLICAN,0.5393821877507355
2012,1017,0.4702621312709602,0.5219355280268291,DEMOCRAT,0.4702621312709602
2016,1017,0.41611510791366907,0.5642446043165468,DEMOCRAT,0.41611510791366907
2020,1017,0.41644857367181365,0.5726903951845067,REPUBLICAN,0.5726903951845067
2024,1017,0.37943137943137945,0.6115128115128116,DEMOCRAT,0.37943137943137945
2000,1019,0.4470152115556692,0.5309983382334142,DEMOCRAT,0.4470152115556692
2004,1019,0.33594872361586914,0.6545474638081556,REPUBLICAN,0.6545474638081556
2008,1019,0.2366341713699333,0.748896870189841,REPUBLICAN,0.748896870189841
2012,1019,0.21801820227017077,0.7675631455159014,DEMOCRAT,0.21801820227017077
2016,1019,0.14413491102208142,0.8341563402590143,DEMOCRAT,0.14413491102208142
2020,1019,0.13202178684659785,0.8603365580034144,REPUBLICAN,0.8603365580034144
2024,1019,0.11940642780255267,0.8732892511148701,DEMOCRAT,0.11940642780255267
2000,1021,0.3184468592631858,0.6669758812615956,DEMOCRAT,0.3184468592631858
2004,1021,0.2263224105912658,0.7685257293476307,REPUBLICAN,0.7685257293476307
2008,1021,0.20657857745290975,0.7849311217317965,REPUBLICAN,0.7849311217317965
2012,1021,0.19453670828083838,0.7978467529492612,DEMOCRAT,0.19453670828083838
2016,1021,0.15847351516141325,0.8210027764167892,DEMOCRAT,0.15847351516141325
2020,1021,0.1591403417918177,0.8329880890730191,REPUBLICAN,0.8329880890730191
2024,1021,0.13651773516166574,0.8561453220664879,DEMOCRAT,0.13651773516166574
2000,1023,0.5027122321670735,0.4882017900732303,DEMOCRAT,0.5027122321670735
2004,1023,0.45703611457036114,0.539227895392279,REPUBLICAN,0.539227895392279
